Title,Desc,Type,BodyPart,Equipment,Level,text
Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Barbell,Intermediate,"Decline bar press sit-up The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout."
Bench barbell roll-out,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",Strength,Abdominals,Barbell,Beginner,"Bench barbell roll-out The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body."
Barbell Side Bend,The barbell side bend is a core exercise targeting the obliques. Using a barbell across the shoulders challenges the core to stabilize the spine against lateral flexion. It is usually performed for moderate to high reps as part of the core-focused portion of a workout.,Strength,Abdominals,Barbell,Beginner,Barbell Side Bend The barbell side bend is a core exercise targeting the obliques. Using a barbell across the shoulders challenges the core to stabilize the spine against lateral flexion. It is usually performed for moderate to high reps as part of the core-focused portion of a workout.
Seated bar twist,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.",Strength,Abdominals,Barbell,Intermediate,"Seated bar twist The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency."
Single-arm landmine pull and press,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.",Strength,Abdominals,Barbell,Intermediate,"Single-arm landmine pull and press The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight."
Barbell Ab Roll Out - Gethin Variation,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,"Barbell Ab Roll Out - Gethin Variation The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core."
30 Barbell Floor Wiper,"The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles.",Strength,Abdominals,Barbell,Intermediate,"30 Barbell Floor Wiper The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles."
30 Barbell Roll-Out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,"30 Barbell Roll-Out The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core."
Decline plate sit-up,"The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Barbell,Intermediate,"Decline plate sit-up The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout."
KV Barbell Hip Thrust,The KV barbell hip thrust is a powerful lower-body movement targeting the glutes and hamstrings. The barbell allows for heavy loading to maximize muscle activation and strength in the posterior chain. It is usually performed for moderate reps as the main lift in a lower-body workout.,Strength,Abdominals,Barbell,Intermediate,KV Barbell Hip Thrust The KV barbell hip thrust is a powerful lower-body movement targeting the glutes and hamstrings. The barbell allows for heavy loading to maximize muscle activation and strength in the posterior chain. It is usually performed for moderate reps as the main lift in a lower-body workout.
Advanced Kettlebell Windmill,"The advanced kettlebell windmill is a complex core and shoulder stability exercise targeting the obliques, shoulders, and hips. It requires significant mobility and control to safely balance the kettlebell overhead. It is typically performed for low to moderate reps with an emphasis on technique rather than moving heavy weight.",Strength,Abdominals,Kettlebells,Beginner,"Advanced Kettlebell Windmill The advanced kettlebell windmill is a complex core and shoulder stability exercise targeting the obliques, shoulders, and hips. It requires significant mobility and control to safely balance the kettlebell overhead. It is typically performed for low to moderate reps with an emphasis on technique rather than moving heavy weight."
Kettlebell Windmill,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.",Strength,Abdominals,Kettlebells,Intermediate,"Kettlebell Windmill The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue."
Kettlebell Pass Between The Legs,"The kettlebell pass between the legs is a dynamic core and coordination exercise. Continually passing the weight shifts the center of gravity, forcing the core muscles to intensely stabilize the body. It can be performed for time or reps in an active recovery or warm-up circuit.",Strength,Abdominals,Kettlebells,Beginner,"Kettlebell Pass Between The Legs The kettlebell pass between the legs is a dynamic core and coordination exercise. Continually passing the weight shifts the center of gravity, forcing the core muscles to intensely stabilize the body. It can be performed for time or reps in an active recovery or warm-up circuit."
Kettlebell 3-point leg extension,"The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout.",Strength,Abdominals,Kettlebells,Intermediate,"Kettlebell 3-point leg extension The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout."
Double Kettlebell Swing,"The double kettlebell swing is a powerful lower-body exercise emphasizing the hamstrings, glutes, and back muscles. Using two kettlebells increases the overall load and demands more stabilization from the core compared to a standard swing. It is often used to train explosive power or for cardiovascular conditioning.",Strength,Abdominals,Kettlebells,Intermediate,"Double Kettlebell Swing The double kettlebell swing is a powerful lower-body exercise emphasizing the hamstrings, glutes, and back muscles. Using two kettlebells increases the overall load and demands more stabilization from the core compared to a standard swing. It is often used to train explosive power or for cardiovascular conditioning."
Burpee over kettlebell,"The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training.",Strength,Abdominals,Kettlebells,Intermediate,"Burpee over kettlebell The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training."
Kettlebell toe-touch,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Kettlebells,Intermediate,"Kettlebell toe-touch The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training."
Kettlebell swing,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.",Strength,Abdominals,Kettlebells,Intermediate,"Kettlebell swing The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift."
Two-way swing,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.",Strength,Abdominals,Kettlebells,Intermediate,"Two-way swing The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing."
Kettlebell crab reach,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.",Strength,Abdominals,Kettlebells,Intermediate,"Kettlebell crab reach The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core."
Taylor Single-Arm Kettlebell Swing,"The Taylor single-arm kettlebell swing is a unilateral lower-body exercise emphasizing the hamstrings, glutes, and back. The asymmetrical load forces the core, particularly the obliques, to resist rotation. It is usually performed for time or reps in circuit training or cardiovascular conditioning.",Strength,Abdominals,Kettlebells,Intermediate,"Taylor Single-Arm Kettlebell Swing The Taylor single-arm kettlebell swing is a unilateral lower-body exercise emphasizing the hamstrings, glutes, and back. The asymmetrical load forces the core, particularly the obliques, to resist rotation. It is usually performed for time or reps in circuit training or cardiovascular conditioning."
Holman Kettlebell Up to Elbow Down,The Holman kettlebell up to elbow down is a transitional core and shoulder exercise resembling a partial Turkish get-up. The kettlebell challenges the shoulder stabilizers and the deep core muscles to maintain strict form. It is typically performed for low to moderate reps with an emphasis on controlled movement.,Strength,Abdominals,Kettlebells,Intermediate,Holman Kettlebell Up to Elbow Down The Holman kettlebell up to elbow down is a transitional core and shoulder exercise resembling a partial Turkish get-up. The kettlebell challenges the shoulder stabilizers and the deep core muscles to maintain strict form. It is typically performed for low to moderate reps with an emphasis on controlled movement.
FYR2 Double-Kettlebell Ski,"The FYR2 double-kettlebell ski is a dynamic conditioning exercise targeting the posterior chain and core. It mimics the explosive hip hinge of a skier, using dual kettlebells to increase metabolic demand. It is commonly performed for time or high reps in circuit-style training.",Strength,Abdominals,Kettlebells,Intermediate,"FYR2 Double-Kettlebell Ski The FYR2 double-kettlebell ski is a dynamic conditioning exercise targeting the posterior chain and core. It mimics the explosive hip hinge of a skier, using dual kettlebells to increase metabolic demand. It is commonly performed for time or high reps in circuit-style training."
FYR2 Kettlebell Hike,"The FYR2 kettlebell hike is an explosive lower-body drill that teaches the foundational setup for a kettlebell swing. It targets the lats, core, and hamstrings by aggressively pulling the weight back between the legs. It is usually performed for moderate reps to reinforce proper hinge mechanics.",Strength,Abdominals,Kettlebells,Intermediate,"FYR2 Kettlebell Hike The FYR2 kettlebell hike is an explosive lower-body drill that teaches the foundational setup for a kettlebell swing. It targets the lats, core, and hamstrings by aggressively pulling the weight back between the legs. It is usually performed for moderate reps to reinforce proper hinge mechanics."
FYR2 Kettlebell Cross-Body Catch,"The FYR2 kettlebell cross-body catch is a dynamic exercise targeting hand-eye coordination, grip strength, and core stability. The lateral movement of the kettlebell forces the obliques to engage rapidly to absorb the force. It is often performed for time or reps as part of an athletic conditioning circuit.",Strength,Abdominals,Kettlebells,Intermediate,"FYR2 Kettlebell Cross-Body Catch The FYR2 kettlebell cross-body catch is a dynamic exercise targeting hand-eye coordination, grip strength, and core stability. The lateral movement of the kettlebell forces the obliques to engage rapidly to absorb the force. It is often performed for time or reps as part of an athletic conditioning circuit."
FYR2 Kettlebell Duck Walk,"The FYR2 kettlebell duck walk is a challenging lower-body exercise targeting the quads, glutes, and core. Holding a kettlebell while maintaining a deep squat position places constant tension on the legs. It is typically performed for distance or time as a brutal lower-body finisher.",Strength,Abdominals,Kettlebells,Intermediate,"FYR2 Kettlebell Duck Walk The FYR2 kettlebell duck walk is a challenging lower-body exercise targeting the quads, glutes, and core. Holding a kettlebell while maintaining a deep squat position places constant tension on the legs. It is typically performed for distance or time as a brutal lower-body finisher."
FYR2 Kettlebell Get-Up Reach,"The FYR2 kettlebell get-up reach is a core and shoulder stability exercise targeting the abdominals and upper back. The kettlebell adds resistance to the reach, requiring intense focus and control. It is usually performed for low to moderate reps per side as part of the core-focused portion of a workout.",Strength,Abdominals,Kettlebells,Intermediate,"FYR2 Kettlebell Get-Up Reach The FYR2 kettlebell get-up reach is a core and shoulder stability exercise targeting the abdominals and upper back. The kettlebell adds resistance to the reach, requiring intense focus and control. It is usually performed for low to moderate reps per side as part of the core-focused portion of a workout."
FYR2 Kettlebell Juggle,"The FYR2 kettlebell juggle is an advanced rotational and coordination exercise. Tossing and catching the kettlebell challenges grip strength, core stability, and athletic timing. It is usually performed for time or reps by experienced lifters emphasizing explosive power.",Strength,Abdominals,Kettlebells,Intermediate,"FYR2 Kettlebell Juggle The FYR2 kettlebell juggle is an advanced rotational and coordination exercise. Tossing and catching the kettlebell challenges grip strength, core stability, and athletic timing. It is usually performed for time or reps by experienced lifters emphasizing explosive power."
FYR2 Squat-Clean-Alternating-Press Complex,"The FYR2 squat-clean-alternating-press complex is a full-body metabolic exercise targeting the legs, core, and shoulders. The continuous combination of movements creates a high cardiovascular demand while building strength. It is commonly performed for time or moderate reps in high-intensity circuits.",Strength,Abdominals,Kettlebells,Intermediate,"FYR2 Squat-Clean-Alternating-Press Complex The FYR2 squat-clean-alternating-press complex is a full-body metabolic exercise targeting the legs, core, and shoulders. The continuous combination of movements creates a high cardiovascular demand while building strength. It is commonly performed for time or moderate reps in high-intensity circuits."
Dumbbell V-Sit Cross Jab,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Strength,Abdominals,Dumbbell,Intermediate,"Dumbbell V-Sit Cross Jab The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge."
Dumbbell spell caster,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.",Strength,Abdominals,Dumbbell,Beginner,"Dumbbell spell caster The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control."
Dumbbell side bend,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.",Strength,Abdominals,Dumbbell,Intermediate,"Dumbbell side bend The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides."
Dumbbell crunch,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Dumbbell,Intermediate,"Dumbbell crunch The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training."
Dumbbell Fix Dumbbell Sprawl,The dumbbell fix dumbbell sprawl is a full-body conditioning exercise that acts as a weighted variation of a burpee. Holding dumbbells increases the challenge to the core and upper body during the sprawling motion. It is typically performed for time or reps in metabolic conditioning workouts.,Strength,Abdominals,Dumbbell,Intermediate,Dumbbell Fix Dumbbell Sprawl The dumbbell fix dumbbell sprawl is a full-body conditioning exercise that acts as a weighted variation of a burpee. Holding dumbbells increases the challenge to the core and upper body during the sprawling motion. It is typically performed for time or reps in metabolic conditioning workouts.
Dumbbell Fix Alternating Renegade Row,"The dumbbell fix alternating renegade row is a compound exercise targeting the upper back, lats, and deep core muscles. The push-up position forces the core to resist rotation while pulling the weight. It is usually performed for moderate reps per side as part of a full-body or upper-body circuit.",Strength,Abdominals,Dumbbell,Intermediate,"Dumbbell Fix Alternating Renegade Row The dumbbell fix alternating renegade row is a compound exercise targeting the upper back, lats, and deep core muscles. The push-up position forces the core to resist rotation while pulling the weight. It is usually performed for moderate reps per side as part of a full-body or upper-body circuit."
Dumbbell Fix Dumbbell Mountain Climber,The dumbbell fix dumbbell mountain climber is a dynamic core exercise targeting the abdominals and hip flexors. Holding onto dumbbells while driving the knees forces the upper body and core to work harder to stabilize. It is often performed for time or high reps in cardiovascular conditioning.,Strength,Abdominals,Dumbbell,Intermediate,Dumbbell Fix Dumbbell Mountain Climber The dumbbell fix dumbbell mountain climber is a dynamic core exercise targeting the abdominals and hip flexors. Holding onto dumbbells while driving the knees forces the upper body and core to work harder to stabilize. It is often performed for time or high reps in cardiovascular conditioning.
Dumbbell Fix Dumbbell Russian Twist,"The dumbbell fix dumbbell Russian twist is a core exercise meant to strengthen the obliques and transverse abdominis. The dumbbell adds resistance to the rotational movement, making it far more challenging. It is usually performed for moderate to high reps as part of the core-focused portion of a workout.",Strength,Abdominals,Dumbbell,Intermediate,"Dumbbell Fix Dumbbell Russian Twist The dumbbell fix dumbbell Russian twist is a core exercise meant to strengthen the obliques and transverse abdominis. The dumbbell adds resistance to the rotational movement, making it far more challenging. It is usually performed for moderate to high reps as part of the core-focused portion of a workout."
Dumbbell Fix Dumbbell Pull-Over,"The dumbbell fix dumbbell pull-over is an upper-body exercise targeting the lats and chest, while also engaging the core for stability. The dumbbell provides a deep stretch and continuous tension throughout the movement. It is typically performed for moderate reps to build upper-body strength and mobility.",Strength,Abdominals,Dumbbell,Intermediate,"Dumbbell Fix Dumbbell Pull-Over The dumbbell fix dumbbell pull-over is an upper-body exercise targeting the lats and chest, while also engaging the core for stability. The dumbbell provides a deep stretch and continuous tension throughout the movement. It is typically performed for moderate reps to build upper-body strength and mobility."
Dumbbell Fix Dumbbell Sit-Up,"The dumbbell fix dumbbell sit-up is a weighted core exercise that works the rectus abdominis or ""six-pack"" muscles. The addition of a dumbbell challenges the core to move the extra resistance. It is usually performed for moderate to high reps, such as 8-12 reps per set, as part of a core routine.",Strength,Abdominals,Dumbbell,Intermediate,"Dumbbell Fix Dumbbell Sit-Up The dumbbell fix dumbbell sit-up is a weighted core exercise that works the rectus abdominis or ""six-pack"" muscles. The addition of a dumbbell challenges the core to move the extra resistance. It is usually performed for moderate to high reps, such as 8-12 reps per set, as part of a core routine."
Dumbbell Fix Dumbbell Front Squat,"The dumbbell fix dumbbell front squat is a lower-body exercise targeting the quads, glutes, and core. Holding the dumbbells in the front rack position forces the anterior core to work incredibly hard to keep the torso upright. It is commonly performed for moderate to high reps in full-body or leg workouts.",Strength,Abdominals,Dumbbell,Intermediate,"Dumbbell Fix Dumbbell Front Squat The dumbbell fix dumbbell front squat is a lower-body exercise targeting the quads, glutes, and core. Holding the dumbbells in the front rack position forces the anterior core to work incredibly hard to keep the torso upright. It is commonly performed for moderate to high reps in full-body or leg workouts."
Dumbbell Fix Full Man Maker,"The dumbbell fix full man maker is an intense full-body exercise combining a push-up, renegade row, squat clean, and overhead press. The dumbbells add heavy resistance to every phase of the movement, heavily taxing the muscular and cardiovascular systems. It is usually performed for lower reps due to its highly demanding nature.",Strength,Abdominals,Dumbbell,Intermediate,"Dumbbell Fix Full Man Maker The dumbbell fix full man maker is an intense full-body exercise combining a push-up, renegade row, squat clean, and overhead press. The dumbbells add heavy resistance to every phase of the movement, heavily taxing the muscular and cardiovascular systems. It is usually performed for lower reps due to its highly demanding nature."
Dumbbell T-hold,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.",Strength,Abdominals,Dumbbell,Intermediate,"Dumbbell T-hold The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation."
Dumbbell hollow-body floor press,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.,Strength,Abdominals,Dumbbell,Intermediate,Dumbbell hollow-body floor press The dumbbell hollow-body floor press combines upper-body strength and core work in one move.
Dumbbell crusher,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.",Strength,Abdominals,Dumbbell,Intermediate,"Dumbbell crusher The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use."
